============================================================
来源文件: xueshu_01.txt
============================================================
=== Sheet: Sheet1 (211x3) ===
吉林大学本科学生学科竞赛体系（2022） |  | 
序号 | 竞赛项目名称 | 评定等级
1 | 中国“互联网+”大学生创新创业大赛 | A
2 | “挑战杯”全国大学生课外学术科技作品竞赛 | A
3 | “挑战杯”中国大学生创业计划大赛 | A
4 | 中国大学生电动方程式汽车大赛 | A
5 | 中国大学生方程式汽车大赛 | A
6 | 国际基因工程机器大赛（iGEM） | A
7 | 国际生物分子与设计大赛（BIOMOD） | A
8 | 中国大学生医学技术技能大赛 | A
9 | 中国大学生工程实践与创新能力大赛（全国大学生工程训练综合能力竞赛） | A
10 | ACM-ICPC国际大学生程序设计竞赛 | B
11 | 全国大学生数学建模竞赛 | B
12 | 全国大学生电子设计竞赛 | B
13 | 全国大学生化学实验邀请赛 | B
14 | 全国大学生机械创新设计大赛 | B
15 | 全国大学生结构设计竞赛 | B
16 | 全国大学生广告艺术大赛 | B
17 | 全国大学生智能汽车竞赛 | B
18 | 全国大学生交通科技大赛 | B
19 | 全国大学生电子商务“创新、创意及创业”挑战赛 | B
20 | 全国大学生节能减排社会实践与科技竞赛 | B
21 | 全国大学生物流设计大赛 | B
22 | “外研社杯”Uchallenge全国英语演讲大赛 | B
23 | 全国大学生机器人大赛RoboMaster机甲大师赛 | B
24 | "西门子杯"中国智能制造挑战赛 | B
25 | 全国大学生化工设计竞赛 | B
26 | 全国大学生先进成图技术与产品信息建模创新大赛 | B
27 | 全国三维数字化创新设计大赛（大学生组） | B
28 | 中国大学生计算机设计大赛 | B
29 | 全国大学生市场调查与分析大赛 | B
30 | 中国大学生服务外包创新创业大赛 | B
31 | 两岸新锐设计竞赛“华灿奖” | B
32 | 长江钢琴-全国高校钢琴大赛 | B
33 | 中国高校计算机大赛（大数据挑战赛、*团体程序设计天梯赛、*移动应用创新赛、*网络技术挑战赛、*人工智能创意赛） | B
34 | 全国大学生动物医学专业（本科）技能大赛 | B
35 | 全国大学生铸造工艺大赛 | B
36 | 全国大学生地质技能竞赛 | B
37 | iCAN全国大学生创新创业大赛 | B
38 | 全国大学生数学竞赛 | B
39 | 全国高校讲思政课大赛 | B
40 | 全国大学生生命科学竞赛 | B
41 | 全国大学生物理实验竞赛 | B
42 | 中国日报社“21世纪杯”全国英语演讲比赛 | B
43 | 全国基础医学创新论坛及实验设计竞赛 | B
44 | “东方杯”全国大学生勘探地球物理大赛 | B
45 | 全国食品类专业工程实践训练综合能力竞赛 | B
46 | 国际大学生智能农业装备创新大赛 | B
47 | *全国周培源大学生力学竞赛 | B*
48 | *全国大学生嵌入式芯片与系统设计竞赛 | B*
49 | *“学创杯”全国大学生创业综合模拟大赛 | B*
50 | *中国大学生机械工程创新创意大赛-智能制造大赛 | B*
51 | *全国大学生信息安全竞赛 | B*
52 | *中国机器人大赛 | B*
53 | *中国高校智能机器人创意大赛 | B*
54 | *全国高校数字艺术设计大赛（未来设计师NCDA大赛） | B*
55 | *米兰设计周——中国高校设计学科师生优秀作品展 | B*
56 | *中国机器人及人工智能大赛 | B*
57 | *全国大学生金相技能大赛 | B*
58 | *华为ICT大赛 | B*
